Time,HR,HR_clean,Phase
2023-05-07 16:33:24.600,,73.04689584037274,
2023-05-07 16:33:25.366,78.32898172323759,72.62453095267733,
2023-05-07 16:33:26.178,73.89162561576354,72.71998696292196,
2023-05-07 16:33:26.982,74.62686567164178,72.67465467726812,
2023-05-07 16:33:27.825,71.17437722419928,73.07232659046707,
2023-05-07 16:33:28.656,72.20216606498194,73.15893749843569,
2023-05-07 16:33:29.512,70.09345794392523,73.32036510549155,
2023-05-07 16:33:30.350,71.59904534606204,73.39518180457878,
2023-05-07 16:33:31.165,73.61963190184049,73.54481520275326,
2023-05-07 16:33:31.985,73.17073170731707,73.54481520275326,
2023-05-07 16:33:32.772,76.23888182973316,73.54481520275324,
2023-05-07 16:33:33.594,72.992700729927,73.60518390459977,
2023-05-07 16:33:34.374,76.92307692307692,74.55308391298458,
2023-05-07 16:33:35.187,73.80073800738006,75.6542322533967,
2023-05-07 16:33:35.926,81.19079837618402,76.69501189196232,
2023-05-07 16:33:36.645,83.44923504867872,76.92307692307692,
2023-05-07 16:33:37.375,82.1917808219178,76.98899215608726,
2023-05-07 16:33:38.093,83.56545961002784,78.37499354208866,
2023-05-07 16:33:38.827,81.74386920980925,79.76099492809004,
2023-05-07 16:33:39.549,83.10249307479224,81.08108108108108,
2023-05-07 16:33:40.350,74.9063670411985,81.08108108108108,
2023-05-07 16:33:41.131,76.82458386683739,80.75632374697794,
2023-05-07 16:33:41.909,77.12082262210797,80.04508619363513,
2023-05-07 16:33:42.649,81.08108108108108,79.09367846256639,
2023-05-07 16:33:43.416,78.22685788787483,78.13143450966822,
2023-05-07 16:33:44.193,77.22007722007721,77.52258591002,
2023-05-07 16:33:44.987,75.56675062972292,77.05516123634085,stress
2023-05-07 16:33:45.736,80.10680907877169,77.0220763703511,stress
2023-05-07 16:33:46.496,78.94736842105263,77.0220763703511,stress
2023-05-07 16:33:47.297,74.9063670411985,76.8915887544414,stress
2023-05-07 16:33:48.092,75.47169811320754,76.56535854030388,stress
2023-05-07 16:33:48.908,73.52941176470588,76.04733454284222,stress
