2023/05/05 13:27:33.593	1	Acquired Data:	30820	11808	null
2023/05/05 13:27:33.603	2	Acquired Data:	30752	11852	null
2023/05/05 13:27:33.626	3	Acquired Data:	30676	11810	null
2023/05/05 13:27:33.628	4	Acquired Data:	30587	11850	null
2023/05/05 13:27:33.628	5	Acquired Data:	30500	11809	null
2023/05/05 13:27:33.660	6	Acquired Data:	30409	11848	null
2023/05/05 13:27:33.662	7	Acquired Data:	30338	11807	null
2023/05/05 13:27:33.663	8	Acquired Data:	30279	11852	null
2023/05/05 13:27:33.665	9	Acquired Data:	30249	11807	null
2023/05/05 13:27:33.697	10	Acquired Data:	30311	11849	null
2023/05/05 13:27:33.698	11	Acquired Data:	30557	11809	null
2023/05/05 13:27:33.698	12	Acquired Data:	31000	11850	null
2023/05/05 13:27:33.737	13	Acquired Data:	31676	11807	null
2023/05/05 13:27:33.737	14	Acquired Data:	32518	11844	null
2023/05/05 13:27:33.737	15	Acquired Data:	33459	11808	null
2023/05/05 13:27:33.737	16	Acquired Data:	34406	11845	null
2023/05/05 13:27:33.768	17	Acquired Data:	35276	11802	null
2023/05/05 13:27:33.770	18	Acquired Data:	36023	11842	null
2023/05/05 13:27:33.771	19	Acquired Data:	36594	11805	null
2023/05/05 13:27:33.771	20	Acquired Data:	36964	11842	null
2023/05/05 13:27:33.804	21	Acquired Data:	37187	11802	null
2023/05/05 13:27:33.806	22	Acquired Data:	37242	11840	null
2023/05/05 13:27:33.807	23	Acquired Data:	37173	11804	null
2023/05/05 13:27:33.817	24	Acquired Data:	36996	11838	null
2023/05/05 13:27:33.824	25	Acquired Data:	36744	11799	null
2023/05/05 13:27:33.856	26	Acquired Data:	36440	11836	null
2023/05/05 13:27:33.858	27	Acquired Data:	36091	11800	null
2023/05/05 13:27:33.858	28	Acquired Data:	35708	11837	null
2023/05/05 13:27:33.912	29	Acquired Data:	35296	11798	null
2023/05/05 13:27:33.912	30	Acquired Data:	34902	11833	null
2023/05/05 13:27:33.914	31	Acquired Data:	34499	11795	null
2023/05/05 13:27:33.915	32	Acquired Data:	34096	11834	null
2023/05/05 13:27:33.920	33	Acquired Data:	33708	11796	null
2023/05/05 13:27:33.920	34	Acquired Data:	33367	11832	null
2023/05/05 13:27:33.922	35	Acquired Data:	33086	11792	null
2023/05/05 13:27:33.956	36	Acquired Data:	32872	11828	null
2023/05/05 13:27:33.956	37	Acquired Data:	32724	11790	null
2023/05/05 13:27:33.958	38	Acquired Data:	32648	11831	null
2023/05/05 13:27:33.959	39	Acquired Data:	32640	11791	null
2023/05/05 13:27:33.993	40	Acquired Data:	32684	11828	null
2023/05/05 13:27:33.994	41	Acquired Data:	32788	11784	null
2023/05/05 13:27:33.996	42	Acquired Data:	32889	11825	null
2023/05/05 13:27:34.029	43	Acquired Data:	33004	11785	null
2023/05/05 13:27:34.032	44	Acquired Data:	33124	11824	null
2023/05/05 13:27:34.032	45	Acquired Data:	33209	11786	null
2023/05/05 13:27:34.034	46	Acquired Data:	33286	11826	null
2023/05/05 13:27:34.066	47	Acquired Data:	33332	11784	null
